timestamp,cpu_percent,mem_used_bytes,mem_limit_bytes,peer_count
1775686515.213894,2.28,-1,-1,2
1775686526.740453,2.79,-1,-1,2
1775686539.3286211,2.44,-1,-1,2
1775686550.774174,7.19,-1,-1,2
1775686562.313986,7.0,-1,-1,2
1775686574.441582,7.47,-1,-1,2
1775686586.10588,16.85,-1,-1,2
1775686597.961778,13.36,-1,-1,2
1775686609.895618,3.2,-1,-1,2
1775686621.334775,3.02,-1,-1,2
1775686633.072264,4.57,-1,-1,2
1775686645.163973,8.55,-1,-1,2
1775686657.5207272,9.7,-1,-1,2
1775686668.9402611,18.83,-1,-1,2
1775686681.104077,19.85,-1,-1,2
1775686693.4018738,18.58,-1,-1,2
1775686705.547779,0.8,-1,-1,2
