timestamp,height
1775677882.604138,384
1775677888.195874,385
1775677893.7465332,385
1775677899.202472,385
1775677904.725543,386
1775677910.169655,386
1775677915.6314518,387
1775677921.062043,387
1775677926.55207,388
1775677931.9848902,388
1775677937.4586859,389
1775677942.9941308,389
1775677948.4622111,390
1775677954.028835,390
1775677959.513334,391
1775677965.120276,391
1775677970.53766,391
1775677976.024412,392
1775677981.4881191,392
1775677986.935225,393
1775677992.413696,393
1775677997.8287308,394
1775678003.289703,394
1775678008.730819,395
1775678014.300193,395
1775678019.779048,396
1775678025.189286,396
1775678030.635535,396
1775678036.0875342,397
1775678041.560266,397
1775678047.031847,398
1775678052.569937,398
1775678058.055427,399
1775678063.492268,399
